clusterName,f-measure,True Negative ,False Positive,False Negative,True Positive,markerCount,1,2,3,4,5,6,index
cl1001_e62_Cryba2_L5_IT,0.497925311,11640,57,14,48,5,mRNA_Deptor,mRNA_Fezf2,mRNA_Neurod1,mRNA_Nrn1,mRNA_Rorb,nan,cl1001_e62_Cryba2_L5_IT&mRNA_Deptor>=7.074863910675049&mRNA_Fezf2>=5.199260711669922&mRNA_Neurod1>=1.033516764640808&mRNA_Nrn1>=9.419281005859375&mRNA_Rorb>=3.352025270462036
cl1002_i29_Nts_Sst,0.904761905,11730,0,10,19,2,mRNA_Calb1,mRNA_Th,nan,nan,nan,nan,cl1002_i29_Nts_Sst&mRNA_Calb1>=9.496694564819336&mRNA_Th>=7.006585121154785
cl1003_i21_Sp7_Lamp5,0.454545455,11738,0,18,3,3,mRNA_Car4,mRNA_Kcnip1,mRNA_Lamp5,nan,nan,nan,cl1003_i21_Sp7_Lamp5&mRNA_Car4>=9.3541841506958&mRNA_Kcnip1>=10.216022491455078&mRNA_Lamp5>=7.633472442626953
cl1004_i65_NA_Sst,0.333333333,11625,69,34,31,4,mRNA_Calb1,mRNA_Npy,mRNA_Penk,mRNA_Reln,nan,nan,cl1004_i65_NA_Sst&mRNA_Calb1>=11.123717308044434&mRNA_Npy>=8.040781021118164&mRNA_Penk>=0.7374440431594849&mRNA_Reln>=7.041647911071777
cl1005_i24_Pcdhb20_Sst,0.46875,11721,14,12,12,4,mRNA_Calb1,mRNA_Lhx6,mRNA_Reln,mRNA_Sst,nan,nan,cl1005_i24_Pcdhb20_Sst&mRNA_Calb1>=12.815673828125&mRNA_Lhx6>=6.752765655517578&mRNA_Reln>=5.874537467956543&mRNA_Sst>=12.426132202148438
cl1006_i68_Hpse_Sst,0.555555556,11678,13,44,24,4,mRNA_Ank1,mRNA_Npy,mRNA_Reln,mRNA_Syt6,nan,nan,cl1006_i68_Hpse_Sst&mRNA_Ank1>=4.591855525970459&mRNA_Npy>=9.718961715698242&mRNA_Reln>=7.831223487854004&mRNA_Syt6>=1.0225149393081665
cl1007_i56_NA_Pvalb,0.675,11694,9,29,27,4,mRNA_Npy,mRNA_Pvalb,mRNA_Sst,mRNA_Th,nan,nan,cl1007_i56_NA_Pvalb&mRNA_Npy>=7.3344011306762695&mRNA_Pvalb>=4.029123306274414&mRNA_Sst>=4.11137580871582&mRNA_Th>=5.004798889160156
cl1008_e40_NA_L5_IT,0.367647059,11705,14,30,10,3,mRNA_Fezf2,mRNA_Rorb,mRNA_Slc17a7,nan,nan,nan,cl1008_e40_NA_L5_IT&mRNA_Fezf2>=1.2850592136383057&mRNA_Rorb>=5.055349349975586&mRNA_Slc17a7>=10.428169250488281
cl1009_e15_Hsd17b2_L6b,0.970149254,11744,0,2,13,3,mRNA_Neurod6,mRNA_Nxph4,mRNA_Slc17a8,nan,nan,nan,cl1009_e15_Hsd17b2_L6b&mRNA_Neurod6>=8.284597396850586&mRNA_Nxph4>=1.072135329246521&mRNA_Slc17a8>=3.114642858505249
cl1010_n5_Fgfbp1_VLMC,0.769230769,11754,0,3,2,4,mRNA_Cryab,mRNA_Dcn,mRNA_Igfbp6,mRNA_Slc6a1,nan,nan,cl1010_n5_Fgfbp1_VLMC&mRNA_Cryab>=8.10327434539795&mRNA_Dcn>=7.491397857666016&mRNA_Igfbp6>=0.7292400598526001&mRNA_Slc6a1>=6.677803039550781
cl1011_n13_Enpp6_Oligo,0.310344828,11722,24,4,9,2,mRNA_Fa2h,mRNA_Vip,nan,nan,nan,nan,cl1011_n13_Enpp6_Oligo&mRNA_Fa2h>=7.230616569519043&mRNA_Vip>=0.9327141046524048
cl1012_n5_Gkn3_Endo,0.952380952,11754,0,1,4,2,mRNA_Ly6c2,mRNA_Map3k7cl,nan,nan,nan,nan,cl1012_n5_Gkn3_Endo&mRNA_Ly6c2>=4.670426368713379&mRNA_Map3k7cl>=0.6179296970367432
cl1013_n4_Slc26a2_VLMC,0.9375,11755,0,1,3,1,mRNA_Igfbp6,nan,nan,nan,nan,nan,cl1013_n4_Slc26a2_VLMC&mRNA_Igfbp6>=9.897220611572266
cl1014_n8_Atp13a5_Peri,0.625,11751,0,6,2,2,mRNA_Car4,mRNA_Cryab,nan,nan,nan,nan,cl1014_n8_Atp13a5_Peri&mRNA_Car4>=12.721384048461914&mRNA_Cryab>=9.6070556640625
cl1015_e8_Lhx1os_CR,0.892857143,11751,0,3,5,2,mRNA_Ndnf,mRNA_Nrn1,nan,nan,nan,nan,cl1015_e8_Lhx1os_CR&mRNA_Ndnf>=11.568452835083008&mRNA_Nrn1>=4.778158187866211
cl101_e53_Zmiz1os1_L6_IT,0.119478639,11407,299,20,33,5,mRNA_Igfbp6,mRNA_Neurod6,mRNA_Nrn1,mRNA_Penk,mRNA_Tesc,nan,cl101_e53_Zmiz1os1_L6_IT&mRNA_Igfbp6>=8.199865341186523&mRNA_Neurod6>=8.486959457397461&mRNA_Nrn1>=9.395959854125977&mRNA_Penk>=4.737412452697754&mRNA_Tesc>=6.518433094024658
cl102_e53_Tmem74b_L23_IT,0.171467764,11562,144,28,25,5,mRNA_Igfbp6,mRNA_Itpka,mRNA_Lamp5,mRNA_Neurod6,mRNA_Reln,nan,cl102_e53_Tmem74b_L23_IT&mRNA_Igfbp6>=7.491880416870117&mRNA_Itpka>=8.802600860595703&mRNA_Lamp5>=9.557777404785156&mRNA_Neurod6>=3.6139588356018066&mRNA_Reln>=1.0595207214355469
cl103_e53_NA_L23_IT,0.321336761,11647,59,28,25,4,mRNA_Igfbp6,mRNA_Itpka,mRNA_Lamp5,mRNA_Penk,nan,nan,cl103_e53_NA_L23_IT&mRNA_Igfbp6>=8.686788558959961&mRNA_Itpka>=8.664266586303711&mRNA_Lamp5>=9.091226577758789&mRNA_Penk>=5.010463237762451
cl106_e50_Dlc1_L6_CT,0.487012987,11698,11,35,15,4,mRNA_Lamp5,mRNA_Nrn1,mRNA_Pcp4,mRNA_Syt6,nan,nan,cl106_e50_Dlc1_L6_CT&mRNA_Lamp5>=5.994277000427246&mRNA_Nrn1>=6.906064987182617&mRNA_Pcp4>=12.519701957702637&mRNA_Syt6>=7.51561164855957
cl107_i50_Gpr101_Sst,0.564516129,11679,30,15,35,5,mRNA_Calb1,mRNA_Npy,mRNA_Penk,mRNA_Reln,mRNA_Sst,nan,cl107_i50_Gpr101_Sst&mRNA_Calb1>=9.364688873291016&mRNA_Npy>=1.1968138217926025&mRNA_Penk>=8.032390594482422&mRNA_Reln>=1.0656487941741943&mRNA_Sst>=5.353914260864258
cl108_e49_NA_L4,0.23255814,11661,49,35,14,4,mRNA_Brinp3,mRNA_Neurod6,mRNA_Nrn1,mRNA_Rspo1,nan,nan,cl108_e49_NA_L4&mRNA_Brinp3>=8.052528381347656&mRNA_Neurod6>=8.241806030273438&mRNA_Nrn1>=10.265144348144531&mRNA_Rspo1>=8.168174743652344
cl10_i163_Tacstd2_Sst,0.805946792,11580,16,60,103,3,mRNA_Brinp3,mRNA_Crh,mRNA_Lhx6,nan,nan,nan,cl10_i163_Tacstd2_Sst&mRNA_Brinp3>=6.946364402770996&mRNA_Crh>=6.041255950927734&mRNA_Lhx6>=2.5497679710388184
cl110_i49_Mir3059_Sst,0.477178423,11685,25,26,23,3,mRNA_Dlx6,mRNA_Sst,mRNA_Synpr,nan,nan,nan,cl110_i49_Mir3059_Sst&mRNA_Dlx6>=5.408761024475098&mRNA_Sst>=12.65153980255127&mRNA_Synpr>=11.021585464477539
cl111_e48_Zar1l_L23_IT,0.225409836,11673,38,37,11,5,mRNA_Igfbp6,mRNA_Itpka,mRNA_Lamp5,mRNA_Penk,mRNA_Reln,nan,cl111_e48_Zar1l_L23_IT&mRNA_Igfbp6>=8.806754112243652&mRNA_Itpka>=8.549409866333008&mRNA_Lamp5>=9.326715469360352&mRNA_Penk>=2.769291400909424&mRNA_Reln>=1.0368517637252808
cl112_e48_Slc22a1_L6_IT,0.131048387,11501,210,22,26,5,mRNA_Neurod1,mRNA_Nrgn,mRNA_Pcp4,mRNA_Rprml,mRNA_Tesc,nan,cl112_e48_Slc22a1_L6_IT&mRNA_Neurod1>=0.6458939909934998&mRNA_Nrgn>=10.17995834350586&mRNA_Pcp4>=4.839341640472412&mRNA_Rprml>=7.189978122711182&mRNA_Tesc>=5.8942365646362305
