clusterName,f-measure,True Negative ,False Positive,False Negative,True Positive,markerCount,1,2,3,4,5,6,index
cl1001_e62_Cryba2_L5_IT,0.841121495,11695,2,26,36,5,Crym,Deptor,Etv1,Tcerg1l,Thsd7a,nan,cl1001_e62_Cryba2_L5_IT&Crym>=2.4893789291381836&Deptor>=7.074863910675049&Etv1>=6.97217321395874&Tcerg1l>=3.50889253616333&Thsd7a>=1.7357982397079468
cl1002_i29_Nts_Sst,0.823529412,11730,0,15,14,3,Sst,St6galnac5,Th,nan,nan,nan,cl1002_i29_Nts_Sst&Sst>=13.891317367553711&St6galnac5>=7.324707984924316&Th>=7.006585121154785
cl1003_i21_Sp7_Lamp5,0.573770492,11735,3,14,7,3,Enpp2,Hapln1,Tcerg1l,nan,nan,nan,cl1003_i21_Sp7_Lamp5&Enpp2>=9.677135467529297&Hapln1>=7.926398277282715&Tcerg1l>=6.559391021728516
cl1004_i65_NA_Sst,0.611353712,11681,13,37,28,4,Kit,Mgat4c,Npy,Spon1,nan,nan,cl1004_i65_NA_Sst&Kit>=1.657455563545227&Mgat4c>=7.759222030639648&Npy>=8.040781021118164&Spon1>=8.878097534179688
cl1005_i24_Pcdhb20_Sst,0.694444444,11729,6,9,15,2,Calb1,Pcp4,nan,nan,nan,nan,cl1005_i24_Pcdhb20_Sst&Calb1>=12.815673828125&Pcp4>=7.726557731628418
cl1006_i68_Hpse_Sst,0.625,11670,21,30,38,4,Chrm2,Grb14,Nek7,Sst,nan,nan,cl1006_i68_Hpse_Sst&Chrm2>=0.6833032369613647&Grb14>=3.9830195903778076&Nek7>=6.9394378662109375&Sst>=12.042858123779297
cl1007_i56_NA_Pvalb,0.510204082,11688,15,36,20,4,Chrm2,Lgals1,Sst,Th,nan,nan,cl1007_i56_NA_Pvalb&Chrm2>=5.369239807128906&Lgals1>=8.397554397583008&Sst>=4.11137580871582&Th>=5.004798889160156
cl1008_e40_NA_L5_IT,0.625,11717,2,28,12,4,Blnk,Cadps2,Col6a1,Rorb,nan,nan,cl1008_e40_NA_L5_IT&Blnk>=5.860516548156738&Cadps2>=8.077280044555664&Col6a1>=4.631425857543945&Rorb>=5.055349349975586
cl1009_e15_Hsd17b2_L6b,0.93220339,11744,0,4,11,3,Bdnf,Kcnmb4,Pcp4l1,nan,nan,nan,cl1009_e15_Hsd17b2_L6b&Bdnf>=4.699405193328857&Kcnmb4>=7.813392639160156&Pcp4l1>=8.055719375610352
cl1010_n5_Fgfbp1_VLMC,0.862068966,11753,1,0,5,1,Ptgds,nan,nan,nan,nan,nan,cl1010_n5_Fgfbp1_VLMC&Ptgds>=18.530113220214844
cl1011_n13_Enpp6_Oligo,0.476190476,11746,0,11,2,2,Cryab,Spon1,nan,nan,nan,nan,cl1011_n13_Enpp6_Oligo&Cryab>=10.007229804992676&Spon1>=9.679245948791504
cl1012_n5_Gkn3_Endo,1,11754,0,0,5,3,Cp,Igfbp7,Ly6c2,nan,nan,nan,cl1012_n5_Gkn3_Endo&Cp>=10.432966232299805&Igfbp7>=11.64344596862793&Ly6c2>=4.670426368713379
cl1013_n4_Slc26a2_VLMC,0.833333333,11755,0,2,2,1,Nov,nan,nan,nan,nan,nan,cl1013_n4_Slc26a2_VLMC&Nov>=12.44279670715332
cl1014_n8_Atp13a5_Peri,0.555555556,11748,3,4,4,2,Igfbp7,Pitpnc1,nan,nan,nan,nan,cl1014_n8_Atp13a5_Peri&Igfbp7>=11.160531044006348&Pitpnc1>=10.21934700012207
cl1015_e8_Lhx1os_CR,0.892857143,11751,0,3,5,2,Nrn1,Reln,nan,nan,nan,nan,cl1015_e8_Lhx1os_CR&Nrn1>=4.778158187866211&Reln>=11.820755004882812
cl101_e53_Zmiz1os1_L6_IT,0.286783042,11642,64,30,23,6,Bdnf,Cbln2,Col6a1,Hs3st2,Penk,Tesc,cl101_e53_Zmiz1os1_L6_IT&Bdnf>=7.743751525878906&Cbln2>=2.4191460609436035&Col6a1>=7.373040199279785&Hs3st2>=6.949305534362793&Penk>=4.737412452697754&Tesc>=6.518433094024658
