clusterName,f-measure,True Negative ,False Positive,False Negative,True Positive,markerCount,1,2,3,4,5,6,index
cl1001_e62_Cryba2_L5_IT,0.655339806,11688,9,35,27,4,Ccdc3,Ccdc80,Col15a1,Tmem163,nan,nan,cl1001_e62_Cryba2_L5_IT&Ccdc3>=1.999786376953125&Ccdc80>=4.392216682434082&Col15a1>=1.0258859395980835&Tmem163>=3.790592670440674
cl1002_i29_Nts_Sst,0.811965812,11727,3,10,19,2,Sst,Th,nan,nan,nan,nan,cl1002_i29_Nts_Sst&Sst>=13.891317367553711&Th>=7.006585121154785
cl1003_i21_Sp7_Lamp5,0.352941176,11728,10,15,6,4,Cdca7,Col14a1,Lsp1,Slc44a5,nan,nan,cl1003_i21_Sp7_Lamp5&Cdca7>=4.575869560241699&Col14a1>=0.9376264810562134&Lsp1>=4.09058952331543&Slc44a5>=0.960832953453064
cl1004_i65_NA_Sst,0.582010582,11685,9,43,22,3,Crhr2,Il1rapl2,Moxd1,nan,nan,nan,cl1004_i65_NA_Sst&Crhr2>=1.7473201751708984&Il1rapl2>=1.7227059602737427&Moxd1>=0.7231773138046265
cl1005_i24_Pcdhb20_Sst,0.583333333,11733,2,17,7,3,Moxd1,Nkain3,Trpc6,nan,nan,nan,cl1005_i24_Pcdhb20_Sst&Moxd1>=7.157156944274902&Nkain3>=5.343297004699707&Trpc6>=7.6101789474487305
cl1006_i68_Hpse_Sst,0.616197183,11672,19,33,35,3,Hpse,Rerg,Sst,nan,nan,nan,cl1006_i68_Hpse_Sst&Hpse>=6.221722602844238&Rerg>=6.82596492767334&Sst>=12.042858123779297
cl1007_i56_NA_Pvalb,0.611702128,11693,10,33,23,4,Chrm2,Pvalb,Sst,Th,nan,nan,cl1007_i56_NA_Pvalb&Chrm2>=5.369239807128906&Pvalb>=4.029123306274414&Sst>=4.11137580871582&Th>=5.004798889160156
cl1008_e40_NA_L5_IT,0.523255814,11704,15,22,18,4,Blnk,Fezf2,Rorb,Tox,nan,nan,cl1008_e40_NA_L5_IT&Blnk>=5.860516548156738&Fezf2>=1.2850592136383057&Rorb>=5.055349349975586&Tox>=5.019594192504883
cl1009_e15_Hsd17b2_L6b,0.985915493,11744,0,1,14,3,Nxph4,Rgs5,Slc17a8,nan,nan,nan,cl1009_e15_Hsd17b2_L6b&Nxph4>=1.072135329246521&Rgs5>=4.820598125457764&Slc17a8>=3.114642858505249
cl1010_n5_Fgfbp1_VLMC,0.714285714,11753,1,2,3,3,Flt1,Igf2,Pdgfra,nan,nan,nan,cl1010_n5_Fgfbp1_VLMC&Flt1>=4.0208234786987305&Igf2>=8.162375450134277&Pdgfra>=0.6098371148109436
cl1011_n13_Enpp6_Oligo,0.853658537,11746,0,6,7,1,Tmem163,nan,nan,nan,nan,nan,cl1011_n13_Enpp6_Oligo&Tmem163>=9.944734573364258
cl1012_n5_Gkn3_Endo,1,11754,0,0,5,2,Acta2,Cldn5,nan,nan,nan,nan,cl1012_n5_Gkn3_Endo&Acta2>=7.678313255310059&Cldn5>=10.710397720336914
cl1013_n4_Slc26a2_VLMC,0.833333333,11755,0,2,2,2,Bgn,Col23a1,nan,nan,nan,nan,cl1013_n4_Slc26a2_VLMC&Bgn>=9.221112251281738&Col23a1>=9.12969970703125
cl1014_n8_Atp13a5_Peri,0.75,11751,0,5,3,2,Kcnj8,Vtn,nan,nan,nan,nan,cl1014_n8_Atp13a5_Peri&Kcnj8>=8.179478645324707&Vtn>=14.95013427734375
cl1015_e8_Lhx1os_CR,0.625,11751,0,6,2,1,Pou6f2,nan,nan,nan,nan,nan,cl1015_e8_Lhx1os_CR&Pou6f2>=7.910091400146484
cl101_e53_Zmiz1os1_L6_IT,0.316205534,11672,34,37,16,4,Blnk,Cbln4,Nr4a2,Zfp804b,nan,nan,cl101_e53_Zmiz1os1_L6_IT&Blnk>=0.6674013733863831&Cbln4>=5.338839054107666&Nr4a2>=5.657794952392578&Zfp804b>=2.248382568359375
cl102_e53_Tmem74b_L23_IT,0.536723164,11694,12,34,19,4,Npnt,Nr4a2,Slc17a6,Tnfaip6,nan,nan,cl102_e53_Tmem74b_L23_IT&Npnt>=5.096280097961426&Nr4a2>=5.965692520141602&Slc17a6>=1.4685419797897339&Tnfaip6>=7.0363383293151855
cl103_e53_NA_L23_IT,0.351351351,11686,20,40,13,4,Lmo1,Meis2,Myh14,Trpc6,nan,nan,cl103_e53_NA_L23_IT&Lmo1>=5.685494422912598&Meis2>=3.1436071395874023&Myh14>=4.577507972717285&Trpc6>=1.8875596523284912
cl106_e50_Dlc1_L6_CT,0.384615385,11708,1,44,6,4,Itgb8,Meis2,Rnf152,Syt6,nan,nan,cl106_e50_Dlc1_L6_CT&Itgb8>=4.701387405395508&Meis2>=5.862360954284668&Rnf152>=4.841032028198242&Syt6>=7.51561164855957
cl107_i50_Gpr101_Sst,0.555555556,11699,10,32,18,3,Igfbp5,Penk,Sox6,nan,nan,nan,cl107_i50_Gpr101_Sst&Igfbp5>=5.388087272644043&Penk>=8.032390594482422&Sox6>=6.770172119140625
cl108_e49_NA_L4,0.134529148,11573,137,31,18,2,Rspo1,Slc17a6,nan,nan,nan,nan,cl108_e49_NA_L4&Rspo1>=8.168174743652344&Slc17a6>=3.7801942825317383
cl10_i163_Tacstd2_Sst,0.72234763,11590,6,99,64,3,Prdm8,Prr16,Sst,nan,nan,nan,cl10_i163_Tacstd2_Sst&Prdm8>=2.1999447345733643&Prr16>=1.3341209888458252&Sst>=7.918045997619629
cl110_i49_Mir3059_Sst,0.454545455,11703,7,38,11,4,C1qtnf7,Chrna2,Pld5,Sst,nan,nan,cl110_i49_Mir3059_Sst&C1qtnf7>=1.405883550643921&Chrna2>=3.8355584144592285&Pld5>=7.7813215255737305&Sst>=12.65153980255127
cl111_e48_Zar1l_L23_IT,0.319767442,11691,20,37,11,5,Blnk,C1ql3,Dmkn,Meis2,Trpc6,nan,cl111_e48_Zar1l_L23_IT&Blnk>=2.3021044731140137&C1ql3>=4.15031623840332&Dmkn>=6.31520938873291&Meis2>=3.3747339248657227&Trpc6>=2.0336666107177734
cl112_e48_Slc22a1_L6_IT,0.489130435,11695,16,30,18,3,Fst,Kcng1,Pou6f2,nan,nan,nan,cl112_e48_Slc22a1_L6_IT&Fst>=6.906557559967041&Kcng1>=3.092679738998413&Pou6f2>=4.271202087402344
cl113_i48_Dock5_Lamp5,0.410714286,11676,35,25,23,3,Ndst4,Pde11a,Teddm3,nan,nan,nan,cl113_i48_Dock5_Lamp5&Ndst4>=2.459611654281616&Pde11a>=5.627941131591797&Teddm3>=5.823101043701172
cl114_i47_Tbc1d2b_Lamp5,0.239520958,11690,22,39,8,4,Alk,Cplx3,Nos1,Sema5a,nan,nan,cl114_i47_Tbc1d2b_Lamp5&Alk>=6.5748701095581055&Cplx3>=7.93060827255249&Nos1>=4.686898708343506&Sema5a>=7.55933952331543
cl115_i47_Rny1_Pvalb,0.314285714,11691,21,36,11,5,Barx2,Cemip,Pvalb,Rerg,Tcap,nan,cl115_i47_Rny1_Pvalb&Barx2>=3.3773319721221924&Cemip>=4.743009090423584&Pvalb>=10.335969924926758&Rerg>=6.010248184204102&Tcap>=5.613248825073242
cl116_n47_Lgr6_Astro,0.297157623,11650,62,24,23,3,Bmpr1b,Daam2,Pdlim5,nan,nan,nan,cl116_n47_Lgr6_Astro&Bmpr1b>=5.958991527557373&Daam2>=6.973085403442383&Pdlim5>=1.2237927913665771
cl119_i46_Ccdc38_Pvalb,0.277777778,11686,27,35,11,4,Nnmt,Pvalb,Tcap,Vwc2,nan,nan,cl119_i46_Ccdc38_Pvalb&Nnmt>=5.303129196166992&Pvalb>=7.923494338989258&Tcap>=6.75155782699585&Vwc2>=5.921031951904297
cl11_i160_Pitpnc1_Sst,0.547619048,11521,78,68,92,4,Chrna2,Il1rapl2,Npas1,Sst,nan,nan,cl11_i160_Pitpnc1_Sst&Chrna2>=4.230900287628174&Il1rapl2>=0.7686094045639038&Npas1>=5.362145900726318&Sst>=13.190397262573242
cl120_i46_Cers6_Sst,0.273722628,11671,42,31,15,4,Grin3a,Il1rapl2,Sst,Unc13c,nan,nan,cl120_i46_Cers6_Sst&Grin3a>=8.615701675415039&Il1rapl2>=4.803269863128662&Sst>=13.019731521606445&Unc13c>=7.183042526245117
cl121_e46_Psd4_L6b,0.508982036,11675,38,12,34,4,Foxp2,Nr4a2,Nxph4,Sulf1,nan,nan,cl121_e46_Psd4_L6b&Foxp2>=2.8566503524780273&Nr4a2>=7.115170478820801&Nxph4>=6.179333209991455&Sulf1>=3.839691638946533
cl123_e45_Zbtb2_L23_IT,0.522875817,11703,11,29,16,5,Adamts2,Fst,Kcng1,Meis2,Otof,nan,cl123_e45_Zbtb2_L23_IT&Adamts2>=0.567367672920227&Fst>=4.842799186706543&Kcng1>=2.569661855697632&Meis2>=4.803375244140625&Otof>=3.2158877849578857
cl125_e44_Agmat_L23_IT,0.428571429,11703,12,32,12,5,Ccbe1,Dmkn,Kcng1,Slc17a6,Trpc6,nan,cl125_e44_Agmat_L23_IT&Ccbe1>=1.7148942947387695&Dmkn>=2.820706844329834&Kcng1>=1.0747605562210083&Slc17a6>=4.94877815246582&Trpc6>=3.3580703735351562
cl126_e44_Traf5_L6_CT,0.532407407,11695,20,21,23,5,Foxp2,Hs3st5,Meis2,Nr4a2,Syt6,nan,cl126_e44_Traf5_L6_CT&Foxp2>=6.120741367340088&Hs3st5>=2.4645791053771973&Meis2>=6.7790398597717285&Nr4a2>=4.91155481338501&Syt6>=5.573219299316406
cl127_i44_Nlrx1_Sst,0.568181818,11714,1,34,10,4,Calb2,Cbln4,Prokr2,Timp3,nan,nan,cl127_i44_Nlrx1_Sst&Calb2>=6.383963584899902&Cbln4>=9.601175308227539&Prokr2>=5.514556884765625&Timp3>=6.544306755065918
cl128_n44_ATP8_SMC,0.555555556,11701,14,24,20,2,Acta2,Rgs5,nan,nan,nan,nan,cl128_n44_ATP8_SMC&Acta2>=13.480262756347656&Rgs5>=10.051011085510254
cl12_i155_Crabp1_Sncg,0.874769797,11602,2,60,95,3,Pde11a,Sncg,Teddm3,nan,nan,nan,cl12_i155_Crabp1_Sncg&Pde11a>=1.1412353515625&Sncg>=4.229562282562256&Teddm3>=2.9473319053649902
cl130_n43_Nat8_Astro,0.261780105,11689,27,33,10,3,Gpc6,Rorb,Unc13c,nan,nan,nan,cl130_n43_Nat8_Astro&Gpc6>=7.662661552429199&Rorb>=1.1357648372650146&Unc13c>=6.5745439529418945
cl131_i43_Scgn_Meis2,0.928961749,11715,1,9,34,1,Scgn,nan,nan,nan,nan,nan,cl131_i43_Scgn_Meis2&Scgn>=9.100191116333008
cl132_i43_Fbn1_Vip,0.404040404,11710,6,35,8,3,Rxfp1,Tac2,Vip,nan,nan,nan,cl132_i43_Fbn1_Vip&Rxfp1>=9.17131233215332&Tac2>=6.130687713623047&Vip>=13.341726303100586
